parent_product_code,child_product_code,quantity,output_quantity,assemble_on_pick
TOSP03.MB,TO233.MB,1,1,TRUE
TOSP03.MB,TO235.MB,1,1,TRUE
TOSP03.MB,VB020,1,1,TRUE
TOSP04,KT021,1,1,TRUE
TOSP04,SH150SS,1,1,TRUE
TOSP04,TO099,1,1,TRUE
TOSP04,TO223,1,1,TRUE
TOSP04,TO229,1,1,TRUE
TOSP04,TO230,1,1,TRUE
TOSP04,TO234,1,1,TRUE
TOSP04,VB021,1,1,TRUE
COSP03,CO231,1,1,TRUE
COSP03,CO233,1,1,TRUE
COSP03,CO235,1,1,TRUE
COSP03,KC020,1,1,TRUE
COSP03,SH150SS,1,1,TRUE
COSP03,VB020,1,1,TRUE
COSP03,CO101,1,1,TRUE
COSP03.MB,CO231.MB,1,1,TRUE
COSP03.MB,CO233.MB,1,1,TRUE
COSP03.MB,CO235.MB,1,1,TRUE
COSP03.MB,KC020.MB,1,1,TRUE
COSP03.MB,SH150SS.MB,1,1,TRUE
COSP03.MB,VB020,1,1,TRUE
COSP03.MB,CO100.MB,1,1,TRUE
FR060F.MF,FR060C.W,1,1,TRUE
FR060F.MF,FR00FS.MF,1,1,TRUE
FR060F.MF,FR060P.MF,1,1,TRUE
FR060F.MG,FR060C.W,1,1,TRUE
FR060F.MG,FR00FS.MG,1,1,TRUE
FR060F.MG,FR060P.MG,1,1,TRUE
FR060F.MW,FR060C.W,1,1,TRUE
FR060F.MW,FR00FS.MW,1,1,TRUE
FR060F.MW,FR060P.MW,1,1,TRUE
FR060W.MF,FR060C.W,1,1,TRUE
FR060W.MF,FR00WS.MF,1,1,TRUE
FR060W.MF,FR060P.MF,1,1,TRUE
TOSP01.MB,KT020.MB,1,1,TRUE
TOSP01.MB,SH150SS.MB,1,1,TRUE
TOSP01.MB,TO223.MB,1,1,TRUE
TOSP01.MB,TO229.MB,1,1,TRUE
TOSP01.MB,TO230.MB,1,1,TRUE
TOSP01.MB,TO234.MB,1,1,TRUE
TOSP01.MB,VB020,1,1,TRUE
TOSP01,KT020,1,1,TRUE
TOSP01,SH150SS,1,1,TRUE
TOSP01,TO223,1,1,TRUE
TOSP01,TO229,1,1,TRUE
TOSP01,TO230,1,1,TRUE
TOSP01,TO234,1,1,TRUE
TOSP01,VB020,1,1,TRUE
COSP04,CO223,1,1,TRUE
COSP04,CO229,1,1,TRUE
COSP04,CO230,1,1,TRUE
COSP04,CO234,1,1,TRUE
COSP04,KC021,1,1,TRUE
COSP04,SH150SS,1,1,TRUE
COSP04,VB021,1,1,TRUE
COSP04,CO101,1,1,TRUE
COSP04.MB,CO223.MB,1,1,TRUE
COSP04.MB,CO229.MB,1,1,TRUE
COSP04.MB,CO230.MB,1,1,TRUE
COSP04.MB,CO234.MB,1,1,TRUE
COSP04.MB,KC021.MB,1,1,TRUE
COSP04.MB,SH150SS.MB,1,1,TRUE
COSP04.MB,VB021,1,1,TRUE
COSP04.MB,CO100.MB,1,1,TRUE
TO219,VB019,1,1,TRUE
TO219,KT019,1,1,TRUE
TO219.MB,VB019,1,1,TRUE
TO219.MB,KT019.MB,1,1,TRUE
TO220,VB020,1,1,TRUE
TO220,KT020,1,1,TRUE
TO220.MB,VB020,1,1,TRUE
TO220.MB,KT020.MB,1,1,TRUE
TO221,VB021,1,1,TRUE
TO221,KT021,1,1,TRUE
TO221.L,VB021,1,1,TRUE
TO221.L,KT021.L,1,1,TRUE
TO221.LMB,VB021,1,1,TRUE
TO221.LMB,KT021.LMB,1,1,TRUE
TO221.MB,VB021,1,1,TRUE
TO221.MB,KT021.MB,1,1,TRUE
TO222,VB022,1,1,TRUE
TO222,KT022,1,1,TRUE
TO222.L,VB022,1,1,TRUE
TO222.L,KT022.L,1,1,TRUE
TO222.LMB,VB022,1,1,TRUE
TO222.LMB,KT022.LMB,1,1,TRUE
TO222.MB,VB022,1,1,TRUE
TO222.MB,KT022.MB,1,1,TRUE
FR060W.MG,FR060C.W,1,1,TRUE
FR060W.MG,FR00WS.MG,1,1,TRUE
FR060W.MG,FR060P.MG,1,1,TRUE
FR060W.MW,FR060C.W,1,1,TRUE
FR060W.MW,FR00WS.MW,1,1,TRUE
FR060W.MW,FR060P.MW,1,1,TRUE
FR080F.MF,FR080C.W,1,1,TRUE
FR080F.MF,FR00FS.MF,1,1,TRUE
FR080F.MF,FR080P.MF,1,1,TRUE
FR080F.MW,FR080C.W,1,1,TRUE
FR080F.MW,FR00FS.MW,1,1,TRUE
FR080F.MW,FR080P.MW,1,1,TRUE
FR080W.MF,FR080C.W,1,1,TRUE
FR080W.MF,FR00WS.MF,1,1,TRUE
FR080W.MF,FR080P.MF,1,1,TRUE
FR080W.MG,FR080C.W,1,1,TRUE
FR080W.MG,FR00WS.MG,1,1,TRUE
FR080W.MG,FR080P.MG,1,1,TRUE
FR080W.MW,FR080C.W,1,1,TRUE
FR080W.MW,FR00WS.MW,1,1,TRUE
FR080W.MW,FR080P.MW,1,1,TRUE
FR120DF.MF,FR120DC.W,1,1,TRUE
FR120DF.MF,FR00FS.MF,1,1,TRUE
FR120DF.MF,FR120DP.MF,1,1,TRUE
FR120DF.MF,FR060P.MF,1,1,TRUE
FR120DF.MG,FR120DC.W,1,1,TRUE
FR120DF.MG,FR00FS.MG,1,1,TRUE
FR120DF.MG,FR120DP.MG,1,1,TRUE
FR120DF.MG,FR060P.MG,1,1,TRUE
FR120W.MW,FR120C.W,1,1,TRUE
FR120W.MW,FR00WS.MW,1,1,TRUE
FR120W.MW,FR120P.MW,1,1,TRUE
FR120W.MG,FR120C.W,1,1,TRUE
FR120W.MG,FR00WS.MG,1,1,TRUE
FR120W.MG,FR120P.MG,1,1,TRUE
FR120W.MF,FR120C.W,1,1,TRUE
FR120W.MF,FR00WS.MF,1,1,TRUE
FR120W.MF,FR120P.MF,1,1,TRUE
FR120DF.MW,FR120DC.W,1,1,TRUE
